Activity UUID,Module,Part,Series,Tasks,Completion
c376391f-d24e-4b78-a246-e8816f888340,1 - Getting Started,1 - Getting Started,1 - INTRODUCTION,"info, learn, survey",1
0f2f5925-3521-486d-91dd-75469d4da57c,1 - Getting Started,1 - Getting Started,2 - AWARENESS,learn,1
0e6b7000-6588-4cb9-a1f7-6eecbca74230,1 - Getting Started,1 - Getting Started,2 - AWARENESS,"survey, info",1
1208d753-4134-427e-8eb8-a300c7d788f0,1 - Getting Started,1 - Getting Started,2 - AWARENESS,"learn, info",1
7a9626cc-f906-41a3-86de-0a2a899fc546,1 - Getting Started,1 - Getting Started,3 - CONNECTION,learn,1
9fbd5cdb-05bb-4d83-ad12-cbff28fb0683,1 - Getting Started,1 - Getting Started,3 - CONNECTION,"survey, info",1
5c60029f-cb05-4e27-a7e9-9bbb97bdd5fe,1 - Getting Started,1 - Getting Started,3 - CONNECTION,"learn, info",1
d0a5c01e-9991-4717-aff1-42ba41f33eb8,1 - Getting Started,1 - Getting Started,4 - INSIGHT,learn,1
31dcb471-a62b-4e73-934a-f19c9bb90281,1 - Getting Started,1 - Getting Started,4 - INSIGHT,"survey, info",1
dd8c5a1d-aeca-4eac-b595-80a66f02ab43,1 - Getting Started,1 - Getting Started,4 - INSIGHT,"learn, info",1
30afbe49-7cf6-4df5-90b4-4192e59dae0d,1 - Getting Started,1 - Getting Started,5 - PURPOSE,learn,0
